"DATE","IC4WSA"
"1985-06-22",393000
"1985-06-29",392250
"1985-07-06",390250
"1985-07-13",389250
"1985-07-20",385250
"1985-07-27",378250
"1985-08-03",381250
"1985-08-10",385250
"1985-08-17",392500
"1985-08-24",403250
"1985-08-31",403750
"1985-09-07",409750
"1985-09-14",412000
"1985-09-21",411000
"1985-09-28",408500
"1985-10-05",403250
"1985-10-12",401250
"1985-10-19",401000
"1985-10-26",405750
"1985-11-02",404000
"1985-11-09",403250
"1985-11-16",402500
"1985-11-23",393500
"1985-11-30",392250
"1985-12-07",392750
"1985-12-14",389000
"1985-12-21",386000
"1985-12-28",385250
"1986-01-04",376000
"1986-01-11",379750
"1986-01-18",378250
"1986-01-25",366750
"1986-02-01",367250
"1986-02-08",359500
"1986-02-15",358000
"1986-02-22",369500
"1986-03-01",372250
"1986-03-08",372250
"1986-03-15",378250
"1986-03-22",377500
"1986-03-29",382750
"1986-04-05",386500
"1986-04-12",388000
"1986-04-19",387000
"1986-04-26",385750
"1986-05-03",388500
"1986-05-10",390250
"1986-05-17",390500
"1986-05-24",389250
"1986-05-31",384500
"1986-06-07",379500
"1986-06-14",375750
"1986-06-21",371000
"1986-06-28",370500
"1986-07-05",369500
"1986-07-12",367500
"1986-07-19",364250
"1986-07-26",362000
"1986-08-02",373250
"1986-08-09",387000
"1986-08-16",400250
"1986-08-23",409000
"1986-08-30",405250
"1986-09-06",401250
"1986-09-13",398000
"1986-09-20",398500
"1986-09-27",395500
"1986-10-04",393250
"1986-10-11",391500
"1986-10-18",388000
"1986-10-25",383250
"1986-11-01",376500
"1986-11-08",367000
"1986-11-15",362750
"1986-11-22",362500
"1986-11-29",363000
"1986-12-06",366500
"1986-12-13",368250
"1986-12-20",363500
"1986-12-27",358250
"1987-01-03",348250
"1987-01-10",341500
"1987-01-17",339250
"1987-01-24",339500
"1987-01-31",351250
"1987-02-07",356250
"1987-02-14",355500
"1987-02-21",354250
"1987-02-28",348750
"1987-03-07",341000
"1987-03-14",340250
"1987-03-21",338750
"1987-03-28",333250
"1987-04-04",331500
"1987-04-11",332250
"1987-04-18",335750
"1987-04-25",336250
"1987-05-02",336250
"1987-05-09",330500
"1987-05-16",328500
"1987-05-23",332250
"1987-05-30",331250
"1987-06-06",334500
"1987-06-13",328250
"1987-06-20",322250
"1987-06-27",322250
"1987-07-04",321750
"1987-07-11",322000
"1987-07-18",319750
"1987-07-25",319250
"1987-08-01",324750
"1987-08-08",327250
"1987-08-15",329500
"1987-08-22",326500
"1987-08-29",320000
"1987-09-05",317250
"1987-09-12",311750
"1987-09-19",311000
"1987-09-26",309750
"1987-10-03",306000
"1987-10-10",308750
"1987-10-17",306750
"1987-10-24",302750
"1987-10-31",299750
"1987-11-07",297000
"1987-11-14",298500
"1987-11-21",302500
"1987-11-28",306750
"1987-12-05",312250
"1987-12-12",314750
"1987-12-19",316250
"1987-12-26",318750
"1988-01-02",317750
"1988-01-09",319750
"1988-01-16",329250
"1988-01-23",334000
"1988-01-30",340750
"1988-02-06",339000
"1988-02-13",326500
"1988-02-20",324500
"1988-02-27",318750
"1988-03-05",316000
"1988-03-12",314250
"1988-03-19",309250
"1988-03-26",305500
"1988-04-02",306000
"1988-04-09",308250
"1988-04-16",310000
"1988-04-23",312000
"1988-04-30",313000
"1988-05-07",312000
"1988-05-14",312000
"1988-05-21",313750
"1988-05-28",313750
"1988-06-04",314000
"1988-06-11",311750
"1988-06-18",309750
"1988-06-25",308250
"1988-07-02",307000
"1988-07-09",306500
"1988-07-16",307500
"1988-07-23",319250
"1988-07-30",325750
"1988-08-06",329000
"1988-08-13",328250
"1988-08-20",318750
"1988-08-27",314750
"1988-09-03",312250
"1988-09-10",310500
"1988-09-17",308000
"1988-09-24",304500
"1988-10-01",301000
"1988-10-08",297750
"1988-10-15",294500
"1988-10-22",290750
"1988-10-29",291250
"1988-11-05",289500
"1988-11-12",287250
"1988-11-19",289250
"1988-11-26",290500
"1988-12-03",293750
"1988-12-10",294000
"1988-12-17",293750
"1988-12-24",290500
"1988-12-31",292000
"1989-01-07",295500
"1989-01-14",293000
"1989-01-21",292000
"1989-01-28",289750
"1989-02-04",287000
"1989-02-11",296750
"1989-02-18",302500
"1989-02-25",303750
"1989-03-04",313000
"1989-03-11",313750
"1989-03-18",317250
"1989-03-25",322000
"1989-04-01",321500
"1989-04-08",318750
"1989-04-15",315750
"1989-04-22",312000
"1989-04-29",309000
"1989-05-06",310500
"1989-05-13",316750
"1989-05-20",321000
"1989-05-27",324500
"1989-06-03",325750
"1989-06-10",325750
"1989-06-17",329750
"1989-06-24",333000
"1989-07-01",339000
"1989-07-08",341250
"1989-07-15",344250
"1989-07-22",342750
"1989-07-29",339750
"1989-08-05",339000
"1989-08-12",337000
"1989-08-19",335750
"1989-08-26",334500
